A. MOVIE PROMOS
B. PURCHASE BONUSES
C. THEME DECKS & BOX SETS
D. LEAGUE & TOURNAMENTS
E. PROMO PACKS
F. EVENT PARTICIPATION
G. MISCELLANEOUS

Below is the ordered list of all promo cards and their source category.
1. Base Set
# 	Name KR 	Name ENG 	Source
58/102 	피카츄 	Pikachu 	Pikachu World Collection 2000 (Gold tail stamp)
052 	기라티나 EX 	Giratina EX 	—
053 	플라즈마단의 몬스터볼 	Team Plasma’s Pokéball 	2013 Korea National Championships Participation
054 	빅토리컵 (금) 	Victory Cup (Gold) 	2013 Korea National Championships – 1st Place
055 	빅토리컵 (은) 	Victory Cup (Silver) 	2013 Korea National Championships – 2nd Place
056 	빅토리컵 (동) 	Victory Cup (Bronze) 	2013 Korea National Championships – Top 4
057 	레시라무 EX 	Reshiram EX 	Miscelaneous
058 	제크로무 EX 	Zekrom EX 	Miscelaneous
059 	블랙큐레무 	Black Kyurem 	Miscelaneous
060 	화이트큐레무 	White Kyurem 	Miscelaneous
061 	게노세크트 	Genesect 	Winter Wonderland
062 	게노세크트 	Genesect 	Miscelaneous
063 	플라스마단 배지 	Team Plasma Badge 	Miscelaneous
064 	게노세크트 	Genesect 	Movie Promo – Genesect and the Legend Awakened (2014 Korea release)
065 	리피아 	Leafeon 	Theme decks & box sets
066 	부스터 	Flareon 	Theme decks & box sets
067 	샤미드 	Vaporeon 	Theme decks & box sets
068 	글레이시아 	Glaceon 	Theme decks & box sets
069 	쥬피썬더 	Jolteon 	Theme decks & box sets
070 	에브이 	Espeon 	Theme decks & box sets
071 	블래키 	Umbreon 	Theme decks & box sets
072 	이브이 	Eevee 	Theme decks & box sets
5. XY (XY-P)
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
6. Sun & Moon (SM-P)
# / SM-P 	Name KR 	Name ENG 	Source
Unnumbered 	솔가레오 	Solgaleo 	League & Tournaments (TOP 8 prize)
Unnumbered 	루나라아 	Lunala 	League & Tournaments (TOP 8 prize)
001 	피카츄 	Pikachu 	Purchase Bonus
002 	나몰빼미 	Rowlett 	Purchase Bonus
003 	냐오불 	Litten 	Purchase Bonus
004 	누리공 	Popplio 	Purchase Bonus
005 	피카츄 	Pikachu 	Purchase Bonus
006 	토게데마루 	Togedemaru 	Event Participation
007 	폭거북스 	Turtonator 	Event Participation
008 	모크나이퍼 	Decidueye 	Promo Pack 1
009 	치갈기 	Bruxish 	Promo Pack 1
010 	코스모그 	Cosmog 	Promo Pack 1
011 	내던숭이 	Passimian 	Promo Pack 1
012 	알로라 나옹 	Alolan Meowth 	Promo Pack 1
013 	짜랑꼬 	Jangmo-o 	Promo Pack 1
014 	포곰곰 	Stufful 	Promo Pack 1
015 	이븐곰 GX 	Bewear GX 	Promo Pack 1
016 	수련 	Lana 	Promo Pack 1
017 	잠만보 GX 	Snorlax GX 	Theme decks & box sets
018 	카푸꼬꼬꼭 	Tapu Koko 	Leagues & Tournaments
019 	모크나이퍼 	Decidueye 	League & Tournaments
020 	어흥염 	Incineroar 	League & Tournaments
021 	누리레느 	Primarina 	League & Tournaments
022 	피카츄 	Pikachu 	League & Tournaments
023 	카푸꼬꼬꼭 GX 	Tapu Koko GX 	League & Tournaments
024 	카푸꼬꼬꼭 	스페셜 점보카드 세트 「카푸꼬꼬꼭 GX」 	Theme decks & box sets
025 	아라리 	Exeggcute 	Promo Pack 2
026 	알로라 라이츄 	Alola Raichu 	Promo Pack 2
027 	라티아스 	Latios 	Promo Pack 2
028 	모단단게 	모단단게 	Promo Pack 2
029 	루가루암 	Rockruff 	Promo Pack 2
030 	모래성이당 GX 	Palossand GX 	Promo Pack 2
031 	조로아 	Zorua 	Promo Pack 2
032 	킬리아 	Kirlia 	Promo Pack 2
033 	등산객 	Hiker 	Promo Pack 2
034 	달코퀸 	Tsareena 	Promo Pack 3
035 	달코퀸 GX 	Tsareena GX 	Promo Pack 3
036 	갑주무사 	Golisopod 	Promo Pack 3
037 	투구뿌논 	Vikavolt 	Promo Pack 3
038 	타타륜 	Dhelmise 	Promo Pack 3
039 	루카리오 	Lucario 	Promo Pack 3
040 	폴리곤Z 	Porygon Z 	Promo Pack 3
041 	지우의 피카츄 	Ash’s Pikachu 	Theme decks & box sets
042 	에브이 GX 	Espeon GX 	League & Tournaments (1000 BP prize)
043 	블래키 GX 	Umbreon GX 	League & Tournaments (1000 BP prize)
044 	지우의 피카츄 (오리지널캡) 	Ash’s Pikachu 	Purchase Bonus (Kisstick Sausage)
045 	지우의 피카츄 (호연캡) 	Ash’s Pikachu 	Purchase Bonus (Kisstick Sausage)
046 	지우의 피카츄 (신오캡) 	Ash’s Pikachu 	Purchase Bonus (Kisstick Sausage)
047 	지우의 피카츄 (하나캡) 	Ash’s Pikachu 	Purchase Bonus (Kisstick Sausage)
048 	지우의 피카츄 (칼로스캡) 	Ash’s Pikachu 	Purchase Bonus (Kisstick Sausage)
049 	지우의 피카츄 (알로라캡) 	Ash’s Pikachu 	Purchase Bonus (Kisstick Sausage)
050 	로열마스크 	Royal Mask 	League & Tournaments
051 	빛나는 칠색조 	Shining Ho-oh 	Movie Promos
052 	피카츄 	Pikachu 	Event Participation
053 	알로라 식스테일 	Alola Vulpix 	Collector’s Promo Pack 4 (2017-2018 Winter League (200 BP Prize)
054 	삼삼드래 	Hydreigon 	Collector’s Promo Pack 4 (2017-2018 Winter League (200 BP Prize)
055 	레지기가스 	Regigigas 	Collector’s Promo Pack 4 (2017-2018 Winter League (200 BP Prize)
056 	실버디 	Silvally 	Collector’s Promo Pack 4 (2017-2018 Winter League (200 BP Prize)
057 	실버디 GX 	SIlvally GX 	Promo Pack 4
058 	피오네 	Phione 	Promo Pack 3
059 	알로라 라이츄 	Alolan Raichu 	Promo Pack 3
060 	럭시오 	Luxio 	Promo Pack 3
061 	리오르 	Riolu 	Promo Pack 3
062 	알로라 꼬렛 	Alolan Rattata 	Promo Pack 3
063 	알로라 레트라 GX 	Alolan Rattata GX 	Promo Pack 3
064 	조로아크 	Zoroark 	Promo Pack 3
065 	알로라 디그다 	Alolan Diglett 	Promo Pack 3
066 	울트라볼 	Ultraball 	Promo Pack 3
067 	루가루암 	Lycanroc 	2017-2018 Winter League (Add-a-friend Prize)
068 	아세로라 	Acerola 	2017-2018 Winter League (Participation Prize)
069 	피카츄 	Pikachu 	Purchase Bonus
070 	베베놈 	Poipole 	
071 	하우 	Hau 	League & Tournaments
072 	전수목 	Xurkitree 	Collector’s Promo Pack 5
073 	크레세리아 	Cresselia 	Collector’s Promo Pack 5
074 	포푸니라 	Weavile 	Collector’s Promo Pack 5
075 	히드런 	Heatran 	Collector’s Promo Pack 5
076 	짜랑고우거 GX 	Hakamo-o 	Collector’s Promo Pack 5
077 	알로라 나시 	Alolan Exeggutor 	Miscellaneous
078 	마샤도 	Marshadow 	Miscellaneous
079 	네크로즈마 GX 	Necrozoma GX 	Miscellaneous
080 	루가루암 	Lycanroc 	Miscellaneous
081 	지가르데 	Zygarde 	Miscellaneous
082 	라이치 	Olivia 	Miscellaneous
083 	네크로즈마 황혼의 갈기 	Dusk Mane Necrozoma 	Theme decks & box sets
084 	네크로즈마 새벽의 날개 	Dawn Wing Necrozoma 	Theme decks & box sets
085 	워시로토무 	Wash Rotom 	Promo Pack 4
086 	피카츄 	Pikachu 	Promo Pack 4
087 	데덴네 	Dedenne 	Promo Pack 4
088 	지가르데 GX 	Zygarde GX 	Promo Pack 4
089 	알로라 고지 	Alolan Sandslash 	Promo Pack 4
090 	알로라 나인테일 	Alolan Ninetales 	Promo Pack 4
091 	에테르재단 직원 	Aether Foundation Employee 	Promo Pack 4
092 	알로라 식스테일 	Alolan Vulpix 	League & Tournaments
093 	보스놀이 피카츄 로켓단 	Pretend Boss Pikachu (Team Rocket) 	Event Participation
094 	보스놀이 피카츄 아쿠아단 	Pretend Boss Pikachu (Team Aqua) 	Event Participation
095 	보스놀이 피카츄 마그마단 	Pretend Boss Pikachu (Team Magma) 	Event Participation
096 	보스놀이 피카츄 갤럭시단 	Pretend Boss Pikachu (Team Galaxy) 	Event Participation
097 	보스놀이 피카츄 플라즈마단 	Pretend Boss Pikachu (Team Plasma) 	Event Participation
098 	보스놀이 피카츄 플레어단 	Pretend Boss Pikachu (Team Flare) 	Event Participation
099 	보스놀이 피카츄 스컬단 	Pretend Boss Pikachu (Team Skull) 	Event Participation
100 	다크라이 	Darkrai 	Theme decks & box sets
101 	다크라이 GX 	Darkrai GX 	Movie Promos
102 	파비코리 	Altaria 	League & Tournaments
103 	나무킹 	Sceptile 	League & Tournaments
104 	잎새코 	Nuzleaf 	Promo Pack 5
