A. MOVIE PROMOS
B. PURCHASE BONUSES
C. THEME DECKS & BOX SETS
D. LEAGUE & TOURNAMENTS
E. PROMO PACKS
F. EVENT PARTICIPATION
G. MISCELLANEOUS

Below is the ordered list of all promo cards and their source category.
1. Base Set
# 	Name KR 	Name ENG 	Source
58/102 	피카츄 	Pikachu 	Pikachu World Collection 2000 (Gold tail stamp)
100 	모르페코 		Pokémon Pop-up Store Starfield COEX Purchase Bonus
101 	잠만보 		Pokémon Card Game Online Official Shop Purchase Bonus
102 	사다이사 V 		“Silver Lance” 2 BOX Purchase Bonus
103 	세레비 V 		“Jet-Black Spirit ” 2 BOX Purchase Bonus
104 	버섯모 V 		Sword & Shield Promo Pack 6
105 	눈꼬마 		Sword & Shield Promo Pack 6
106 	줄뮤마 		Sword & Shield Promo Pack 6
107 	에브이 		Sword & Shield Promo Pack 6
108 	또가스 		Sword & Shield Promo Pack 6
109 	이브이 		Sword & Shield Promo Pack 6
110 	윽우지로봇 		Sword & Shield Promo Pack 6
111 	포트데스 		Pokémon Card Game Card Shop Purchase Bonus
112 	가라르 마임꽁꽁 		Pokémon Card Game Card Shop Purchase Bonus
113 	데덴네 		Pokémon Card Game Card Shop Purchase Bonus
114 	파르빗 		Pokémon Card Game Card Shop Purchase Bonus
115 	박사의 연구 		July 2021 Pokémon Go Campaign
116 	엠페르트 V 		Sword & Shield Highcless Deck Double BOX “Phantom VMAX & Inteleon VMAX”
117 	마기라스 V 		Sword & Shield Highcless Deck Double BOX “Phantom VMAX & Inteleon VMAX”
118 	코코 		“Pokémon the Movie: Coco” Theater Gift
119 	자루도 V 		“Pokémon the Movie: Coco” Theater Gift
120 	통째로 삼켜진 피카츄 		CGV Promotion
121 	가라르 야돈 		Sticker Coloring Pokémon Vol. 1,2 Bonus
122 	애프룡 		11st Live Broadcast Event
123 	리피아 		Sword & Shield Promo Pack 7
124 	글레이시아 		Sword & Shield Promo Pack 7
125 	발토이 		Sword & Shield Promo Pack 7
126 	삐딱구리 		Sword & Shield Promo Pack 7
127 	어래곤 V 		Sword & Shield Promo Pack 7
128 	이브이 		Sword & Shield Promo Pack 7
129 	허탕보험 		Sword & Shield Promo Pack 7
130 	파비코리 		Dragon Pokémon V GET Challenge Skyscraping Perfection
131 	레쿠쟈 V 		Dragon Pokémon V GET Challenge Skyscraping Perfection
132 	폭거북스 		Dragon Pokémon V GET Challenge Skyscraping Perfection
133 	할비롱 		Dragon Pokémon V GET Challenge Skyscraping Perfection
134 	두랄루돈 V 		Dragon Pokémon V GET Challenge Skyscraping Perfection
135 	턱지충이 		Sword & Shield Promo Pack 8
136 	가라르 마임꽁꽁 V 		Sword & Shield Promo Pack 8
137 	일레즌 		Sword & Shield Promo Pack 8
138 	님피아 	Sylveon 	Sword & Shield Promo Pack 8
139 	데구리 		Sword & Shield Promo Pack 8
140 	이브이 	Eeevee 	Sword & Shield Promo Pack 8
141 	매운맛 스파이시 카레 	Spicy Seasoned Curry 	Sword & Shield Promo Pack 8
142 	피카츄 VMAX 	Pikachu VMAX 	Kellogg’s Chex Choco Campaign Purchase Bonus
143 	초염몽 V 		Sword & Shield Promo Pack 9
144 	가재군 		Sword & Shield Promo Pack 9
145 	미라몽 	Dusclops 	Sword & Shield Promo Pack 9
146 	리오르 	Riolu 	Sword & Shield Promo Pack 9
147 	포푸니라 		Sword & Shield Promo Pack 9
148 	찌르꼬 		Sword & Shield Promo Pack 9
149 	현이 		Sword & Shield Promo Pack 9
150 	리피아 V 	Leafeon V 	Theme decks & box sets
151 	리피아 VSTAR 	Leafeon VSTAR 	Theme decks & box sets
152 	글레이시아 V 	Glaceon V 	Theme decks & box sets
153 	글레이시아 VSTAR 	Glaceon VSTAR 	Theme decks & box sets
154 	나몰빼미 		Pokémon Pangyo Pop-up Store Opening Event
155 	브케인 		Pokémon Pangyo Pop-up Store Opening Event
156 	수댕이 	Oshawott 	Pokémon Pangyo Pop-up Store Opening Event
157 	레지기가스 	Regigigas 	Theme decks & box sets
158 	쉐이미 V 	Shaymin V 	Theme decks & box sets
159 	피카츄 	Pikachu 	Theme decks & box sets
160 	뮤츠 V 	Mewtwo V 	Theme decks & box sets
161 	이상해씨 		Pokémon GO Promo Card Gift Campaign
162 	알로라 나시 V 		Pokémon GO Promo Card Gift Campaign
163 	파이리 		Pokémon GO Promo Card Gift Campaign
164 	꼬부기 		Pokémon GO Promo Card Gift Campaign
165 	멜메탈 V 		Pokémon GO Promo Card Gift Campaign
166 	망나뇽 V 		Pokémon GO Promo Card Gift Campaign
167 	망나뇽 VSTAR 		Pokémon GO Promo Card Gift Campaign
168 	귀뚤뚜기 		Sword & Shield Promo Pack 10
169 	히스이 배쓰나이 		Sword & Shield Promo Pack 10
170 	토게틱 	Togetic 	Sword & Shield Promo Pack 10
171 	두개도스 		Sword & Shield Promo Pack 10
172 	다투곰 V 		Sword & Shield Promo Pack 10
173 	자망칼 		Sword & Shield Promo Pack 10
174 	라벤박사 		Sword & Shield Promo Pack 10
175 	해너츠 		Sword & Shield Promo Pack 11
176 	쥬쥬 		Sword & Shield Promo Pack 11
177 	가이오가 V 		Sword & Shield Promo Pack 11
178 	저리릴 		Sword & Shield Promo Pack 11
179 	러브로스 		Sword & Shield Promo Pack 11
180 	메탕구 		Sword & Shield Promo Pack 11
181 	구멍파기형제 		Sword & Shield Promo Pack 11
182 	N/A 		N/A
183 	피카츄 	Pikachu 	Sword & Shield “Precious Collector Box Sword & Shield”
184 	용식 	Barry 	“Lucario HR Battle” Participation Reward
185 	루카리오 V 	Lucario V 	“Lucario HR Battle” Preliminary League 1st Place Reward
186 	루카리오 VMAX 	Lucario VMAX 	“Lucario HR Battle” Final Tournament Winner Reward
187 	루기아 V 	Lugia V 	루기아 GET Challenge Paradigm Trigger booster box Purchase Bonus
188 	루기아 VMAX 	Lugia VMAX 	루기아 GET Challenge Paradigm Trigger booster box Purchase Bonus
189 	쉐이미 	Shaymin 	루기아 GET Challenge Paradigm Trigger booster box Purchase Bonus
190 	아케오스 	Archeops 	루기아 GET Challenge Paradigm Trigger booster box Purchase Bonus
191 	더블 터보 에너지 	Double Turbo Energy 	루기아 GET Challenge Paradigm Trigger booster box Purchase Bonus
192 	포니타 	Ponyta 	Sword & Shield Promo Pack 12
193 	누오 V 	Quagsire 	Sword & Shield Promo Pack 12
194 	듀란 	Duosion 	Sword & Shield Promo Pack 12
195 	판짱 	Panchman 	Sword & Shield Promo Pack 12
196 	가라르 나옹 	Galar Meowth 	Sword & Shield Promo Pack 12
197 	프테라 	Aerodactyl 	Sword & Shield Promo Pack 12
198 	평온의 공원 	Peaceful Park 	Sword & Shield Promo Pack 12
199 	레지에레키 V 	Regieleki 	Sword & Shield “Mystery Box”
200 	안농 V 	Unown V 	Sword & Shield “Mystery Box”
201 	레지드래고 V 	Regidrago V 	Sword & Shield “Mystery Box”
202 	루기아 V 	Lugia V 	Sword & Shield “Mystery Box”
203 	피카츄 	Pikachu 	DDP Pokémon Card Game Let’s Play Event
204 	히스이 블레이범 V 	Hisuian Typhlosion V 	2023 Korean League Season 1 Participation Reward
8. Scarlet & Violet (SV-P) Work in Progress

TBC
9. Mega (M-P)
# / M-P 	Name KR 	Name ENG 	Source
001 		Chikorita 	Mega Promo Pack 1
002 		Lapras EX (Holo) 	Mega Promo Pack 1
003 		Munkidori 	Mega Promo Pack 1
004 		Makuhita 	Mega Promo Pack 1
005 		Digging 	Mega Promo Pack 1
006 		Counter Gain 	Mega Promo Pack 1
007 		Lillie’s Determination 	Mega Promo Pack 1
008 	알로라 나시 EX 	Alolan Exeggutor EX 	Jeju Wonder Island
N/A 	마스커나 	Meowscarada 	Mega Voltage TV Campaign
N/A 	악뜨거 	Crocalor 	Mega Voltage TV Campaign
N/A 	테라파고스 	Terapagos 	Mega Voltage TV Campaign
N/A 	아꾸왁 	Quaquaval 	Mega Voltage TV Campaign
N/A 	깜까미 	Sableye 	Mega Voltage TV Campaign
